,prov_code,prov_name,year,all_wm_prov,knows_wm_prov,total_pop,ethnic_turkish,ethnic_kurdish,ln_casualty,ln_gdppc_cons,divorce_rate_ma5,mosques_perk,ceasefire,fm_diff_educ,count,party,pol_attitude,lat,lng,count_k,count_scaled
122,16,bursa,2012,7,7,2688171,92.019,6.7922735,0.6931472,4.7278438,1.502,0.6175202,0,-0.090711355,3,AKP,-94.6,40.1833,29.0667,0.002604001,9.92
123,16,bursa,2013,4,4,2740970,92.019,6.7922735,0.6931472,4.782153,1.612,0.6125569,1,-0.09083238,2,AKP,-99.2,40.1833,29.0667,0.001459337,5.56
124,16,bursa,2014,8,8,2787539,92.019,6.7922735,0.6931472,4.809549,1.702,0.6059108,1,-0.092168,2,AKP,-99.2,40.1833,29.0667,0.002869915,10.93
125,16,bursa,2015,11,11,2842547,92.019,6.7922735,0.6931472,4.850818,1.784,0.5941854,0,-0.09177977,2,AKP,-99.2,40.1833,29.0667,0.003869769,14.74
126,16,bursa,2016,6,6,2901396,92.019,6.7922735,0.6931472,4.870123,1.826,0.59385204,0,-0.09052646,4,AKP,-99.2,40.1833,29.0667,0.00206797,7.88
127,16,bursa,2017,15,15,2936803,92.019,6.7922735,0.6931472,4.943346,1.844,0.58975697,0,-0.08850315,2,AKP,-99.24,40.1833,29.0667,0.005107595,19.45
128,17,canakkale,2010,3,3,490397,97.75796,2.2420437,0,4.5534596,1.338,1.6252139,0,-0.09021366,3,CHP,78.8,40.15,26.4,0.006117493,23.3
129,17,canakkale,2011,0,0,486445,97.75796,2.2420437,0,4.6661577,1.426,1.642529,0,-0.092130005,1,CHP,78.8,40.15,26.4,0,NULL
130,17,canakkale,2012,3,3,493691,97.75796,2.2420437,0,4.6547985,1.55,1.6366513,0,-0.082659855,1,CHP,78.8,40.15,26.4,0.006076675,23.14
131,17,canakkale,2013,0,0,502328,97.75796,2.2420437,0,4.6574225,1.618,1.6164737,1,-0.08492944,4,CHP,108.8,40.15,26.4,0,NULL
132,17,canakkale,2014,1,1,511790,97.75796,2.2420437,0,4.6914268,1.63,1.594404,1,-0.087540805,2,CHP,108.8,40.15,26.4,0.001953926,7.44
133,17,canakkale,2015,1,1,513341,97.75796,2.2420437,0,4.722859,1.664,1.5895866,0,-0.08691186,1,CHP,108.8,40.15,26.4,0.001948023,7.42
134,17,canakkale,2016,0,0,519793,97.75796,2.2420437,0,4.761159,1.708,1.5833226,0,-0.0821121,1,CHP,108.8,40.15,26.4,0,NULL
135,17,canakkale,2017,0,0,530417,97.75796,2.2420437,0,4.807074,1.732,1.5572653,0,-0.08586681,2,CHP,121.46,40.15,26.4,0,NULL
136,18,cankiri,2010,1,1,179067,100,0,0,4.18777,1.014,3.6410952,0,-0.12265676,1,AKP,-93.8,40.6,33.6167,0.005584502,21.27
137,18,cankiri,2011,1,1,177211,100,0,0,4.3000455,1.03,3.7525887,0,-0.12599665,1,AKP,-93.8,40.6,33.6167,0.005642991,21.49
138,18,cankiri,2012,1,1,184406,100,0,0,4.290793,1.07,3.882737,0,-0.13387217,1,AKP,-93.8,40.6,33.6167,0.005422817,20.65
139,18,cankiri,2013,1,1,190909,100,0,0,4.3249393,1.09,3.7766685,1,-0.12763391,1,AKP,-108.6,40.6,33.6167,0.005238098,19.95
140,18,cankiri,2014,0,0,183550,100,0,0,4.3845615,1.118,3.97167,1,-0.12964682,2,AKP,-108.6,40.6,33.6167,0,NULL
141,18,cankiri,2015,0,0,180945,100,0,0,4.4470396,1.1,4.0288486,0,-0.12918659,4,AKP,-108.6,40.6,33.6167,0,NULL
142,18,cankiri,2016,0,0,183880,100,0,0,4.4788566,1.104,4.0080485,0,-0.1240354,3,AKP,-108.6,40.6,33.6167,0,NULL
143,18,cankiri,2017,0,0,186074,100,0,0,4.4665117,1.086,3.9769125,0,-0.12544575,1,MHP,-46.99,40.6,33.6167,0,NULL
144,19,corum,2010,2,1,535405,100,0,0,4.138444,1.276,2.4149942,0,-0.092127874,7,AKP,-91.4,40.5489,34.9533,0.00373549,14.23
145,19,corum,2011,1,1,534578,100,0,0,4.2089925,1.324,2.4187303,0,-0.09886901,2,AKP,-91.4,40.5489,34.9533,0.001870634,7.12
146,19,corum,2012,2,2,529975,100,0,0,4.205148,1.386,2.4642673,0,-0.09943569,2,AKP,-91.4,40.5489,34.9533,0.003773763,14.37
147,19,corum,2013,3,3,532080,100,0,0,4.232025,1.394,2.463915,1,-0.09896383,5,AKP,-101.4,40.5489,34.9533,0.00563825,21.47
148,19,corum,2014,3,3,527220,100,0,0,4.2612724,1.458,2.4904215,1,-0.10101347,3,AKP,-101.4,40.5489,34.9533,0.005690224,21.67
149,19,corum,2015,3,3,525180,100,0,0,4.3170986,1.446,2.5000951,0,-0.09951115,5,AKP,-101.4,40.5489,34.9533,0.005712327,21.76
150,19,corum,2016,4,4,527863,100,0,0,4.344905,1.468,2.5006487,0,-0.09770043,1,AKP,-101.4,40.5489,34.9533,0.007577724,28.86
