,age,date,district,city,perpetrator_en_new,excuses_cat
208,37.0,31/03/2017,Osmangazi, Bursa,partner,Separation & Jealousy
209,26.0,28/03/2017,Salihli, Manisa,boyfriend,Separation & Jealousy
210,5.0,28/03/2017,İskenderun, Hatay,father,Other
211,28.0,28/03/2017,İskenderun, Hatay,ex-partner,Separation & Jealousy
212,29.0,27/03/2017,Merkez, Afyonkarahisar,ex-partner,Separation & Jealousy
213,,22/03/2017,Pursaklar, Ankara,ex-partner,Unknown
214,64.0,21/03/2017,Melikgazi, Kayseri,known man,Other
215,28.0,21/03/2017,Çiğli, İzmir,boyfriend,Separation & Jealousy
216,60.0,21/03/2017,Şehitkâmil, Gaziantep,partner,Unknown
217,43.0,20/03/2017,Fatih, Istanbul,known man,Other
218,32.0,19/03/2017,Osmangazi, Bursa,brother,Other
219,34.0,19/03/2017,Merkez, Kahramanmaraş,partner,Other
220,38.0,18/03/2017,Şahinbey, Gaziantep,brother,Masculinity&Honor
221,39.0,17/03/2017,Erbaa, Tokat,partner,Separation & Jealousy
222,45.0,16/03/2017,Çekmeköy, Istanbul,partner,Unknown
223,38.0,16/03/2017,Merkez, Balıkesir,partner,Household service expectations
224,,15/03/2017,Sarıyer, Istanbul,ex-partner,Unknown
225,48.0,14/03/2017,Merkez, Denizli,boyfriend,Masculinity&Honor
226,23.0,11/3/2017,Şehitkâmil, Gaziantep,partner,Masculinity&Honor
227,68.0,11/3/2017,Fethiye, Muğla,partner,Unknown
228,3.0,11/3/2017,Şehitkâmil, Gaziantep,relative,Other
229,20.0,10/3/2017,Gürsu, Bursa,partner,Separation & Jealousy
230,59.0,9/3/2017,Gemlik, Bursa,son,Unknown
231,25.0,9/3/2017,Bodrum, Muğla,ex-partner,Masculinity&Honor
232,,7/3/2017,Karşıyaka, İzmir,boyfriend,Masculinity&Honor
233,42.0,7/3/2017,Manavgat, Antalya,ex-partner,Woman Decision and Preferences
234,79.0,6/3/2017,Karabağlar, İzmir,relative,Unknown
235,62.0,2/3/2017,Merkez, Kastamonu,partner,Unknown
236,24.0,1/3/2017,Ataşehir, Istanbul,brother,Unknown
237,50.0,28/02/2017,Edremit, Balıkesir,attacker,Unknown
238,29.0,27/02/2017,Bismil, Diyarbakır,relative,Other
239,25.0,25/02/2017,Merkez, Ağrı,partner,Unknown
240,64.0,22/02/2017,İnönü, Eskişehir,attacker,Other
241,27.0,21/02/2017,Alaşehir, Manisa,partner,Separation & Jealousy
242,10.0,21/02/2017,Alaşehir, Manisa,father,Other
243,29.0,19/02/2017,Kepez, Antalya,partner,Separation & Jealousy
244,25.0,18/02/2017,Kocasinan, Kayseri,partner,Separation & Jealousy
245,26.0,16/02/2017,Merkez, Aksaray,boyfriend,Separation & Jealousy
246,83.0,15/02/2017,Merkez, Bolu,attacker,Sexual expectation
247,37.0,14/02/2017,Aksu, Antalya,partner,Unknown
248,13.0,14/02/2017,Aksu, Antalya,father,Unknown
249,37.0,11/2/2017,Menemen, İzmir,boyfriend,Unknown
250,17.0,10/2/2017,Bağcılar, Istanbul,ex-partner,Separation & Jealousy
251,25.0,9/2/2017,Avcılar, Istanbul,partner,Unknown
252,53.0,8/2/2017,Buca, İzmir,partner,Other
253,24.0,8/2/2017,Silifke, Mersin,ex-partner,Separation & Jealousy
254,62.0,5/2/2017,Sorgun, Yozgat,partner,Unknown
255,35.0,3/2/2017,Nilüfer, Bursa,partner,Separation & Jealousy
256,26.0,1/2/2017,Küçükçekmece, Istanbul,partner,Separation & Jealousy
257,30.0,30/01/2017,Bozova, Şanlıurfa,partner,Other
258,20.0,28/01/2017,Edremit, Van,partner,Separation & Jealousy
259,19.0,28/01/2017,Ceylanpınar, Şanlıurfa,partner,Masculinity&Honor
260,35.0,28/01/2017,İlkadım, Samsun,ex-partner,Separation & Jealousy
261,,28/01/2017,İvrindi, Balıkesir,partner,Separation & Jealousy
262,46.0,27/01/2017,Sarıkaya, Yozgat,partner,Separation & Jealousy
263,23.0,25/01/2017,Çiğli, İzmir,relative,Unknown
264,27.0,21/01/2017,Akçakale, Şanlıurfa,brother,Masculinity&Honor
265,22.0,21/01/2017,Eyüp, Istanbul,partner,Other
266,42.0,20/01/2017,Tirebolu, Giresun,partner,Other
267,18.0,20/01/2017,Tirebolu, Giresun,partner,Separation & Jealousy
268,47.0,18/01/2017,Buca, İzmir,known man,Woman Decision and Preferences
269,23.0,18/01/2017,Buca, İzmir,known man,Other
270,20.0,18/01/2017,Buca, İzmir,known man,Unknown
271,43.0,17/01/2017,Küçükçekmece, Istanbul,boyfriend,Other
272,36.0,17/01/2017,Aliağa, İzmir,partner,Separation & Jealousy
273,51.0,16/01/2017,Kartepe, Kocaeli,partner,Other
274,32.0,16/01/2017,Kartepe, Kocaeli,relative,Other
275,42.0,16/01/2017,Çukurova, Adana,boyfriend,Separation & Jealousy
276,29.0,16/01/2017,Merkez, Sivas,known man,Woman Decision and Preferences
277,35.0,13/01/2017,Alanya, Antalya,known man,Unknown
278,38.0,12/1/2017,Edremit, Balıkesir,partner,Separation & Jealousy
279,48.0,5/1/2017,Sürmene, Trabzon,brother,Other
280,50.0,5/1/2017,Sürmene, Trabzon,brother,Other
281,23.0,5/1/2017,Meram, Konya,known man,Other
282,22.0,5/1/2017,Çatalca, Istanbul,partner,Other
283,75.0,5/1/2017,Sürmene, Trabzon,son,Other
284,47.0,3/1/2017,Merkez, Balıkesir,partner,Separation & Jealousy
285,46.0,29/12/2016,Karabağlar, İzmir,partner,Separation & Jealousy
286,86.0,28/12/2016,İnönü, Eskişehir,attacker,Other
287,25.0,27/12/2016,Babaeski, Kırklareli,ex-partner,Unknown
