,age,date,prov_name,perpetrator_en_new,excuses_cat
257,30,1/30/2017, sanliurfa,partner,Other
258,20,1/28/2017, van,partner,Separation & Jealousy
259,19,1/28/2017, sanliurfa,partner,Masculinity&Honor
260,35,1/28/2017, samsun,ex-partner,Separation & Jealousy
261,,1/28/2017, balikesir,partner,Separation & Jealousy
262,46,1/27/2017, yozgat,partner,Separation & Jealousy
263,23,1/25/2017, i̇zmir,relative,Unknown
264,27,1/21/2017, sanliurfa,brother,Masculinity&Honor
265,22,1/21/2017, istanbul,partner,Other
266,42,1/20/2017, giresun,partner,Other
267,18,1/20/2017, giresun,partner,Separation & Jealousy
268,47,1/18/2017, i̇zmir,known man,Woman Decision and Preferences
269,23,1/18/2017, i̇zmir,known man,Other
270,20,1/18/2017, i̇zmir,known man,Unknown
271,43,1/17/2017, istanbul,boyfriend,Other
272,36,1/17/2017, i̇zmir,partner,Separation & Jealousy
273,51,1/16/2017, kocaeli,partner,Other
274,32,1/16/2017, kocaeli,relative,Other
275,42,1/16/2017, adana,boyfriend,Separation & Jealousy
276,29,1/16/2017, sivas,known man,Woman Decision and Preferences
277,35,1/13/2017, antalya,known man,Unknown
278,38,1/12/2017, balikesir,partner,Separation & Jealousy
279,48,1/5/2017, trabzon,brother,Other
280,50,1/5/2017, trabzon,brother,Other
281,23,1/5/2017, konya,known man,Other
282,22,1/5/2017, istanbul,partner,Other
283,75,1/5/2017, trabzon,son,Other
284,47,1/3/2017, balikesir,partner,Separation & Jealousy
285,46,12/29/2016, i̇zmir,partner,Separation & Jealousy
286,86,12/28/2016, eskisehir,attacker,Other
287,25,12/27/2016, kirklareli,ex-partner,Unknown
288,24,12/27/2016, van,partner,Unknown
289,38,12/23/2016, kayseri,partner,Other
290,35,12/22/2016, mersin,partner,Separation & Jealousy
291,22,12/18/2016, i̇zmir,partner,Other
292,68,12/17/2016, yalova,partner,Other
293,45,12/17/2016, yalova,partner,Separation & Jealousy
294,23,12/17/2016, antalya,partner,Separation & Jealousy
295,,12/16/2016, diyarbakir,son,Unknown
296,18,12/10/2016, bolu,ex-partner,Separation & Jealousy
297,22,12/9/2016, istanbul,partner,Separation & Jealousy
298,27,12/7/2016, adana,attacker,Other
299,21,12/7/2016, adana,partner,Masculinity&Honor
300,25,12/3/2016, bursa,known man,Separation & Jealousy
301,28,12/3/2016, kutahya,partner,Separation & Jealousy
302,,11/30/2016, balikesir,son,Other
303,34,11/27/2016, balikesir,partner,Unknown
304,48,11/25/2016, mugla,boyfriend,Masculinity&Honor
305,49,11/24/2016, eskisehir,partner,Masculinity&Honor
306,37,11/20/2016, adana,partner,Other
307,22,11/19/2016, istanbul,partner,Other
308,24,11/18/2016, elazig,partner,Unknown
309,37,11/17/2016, i̇zmir,ex-partner,Unknown
310,32,11/17/2016, konya,ex-partner,Separation & Jealousy
311,71,11/17/2016, konya,relative,Other
312,36,11/13/2016, konya,boyfriend,Unknown
313,38,11/12/2016, antalya,partner,Unknown
314,31,11/10/2016, istanbul,boyfriend,Separation & Jealousy
315,43,11/10/2016, ordu,son,Unknown
316,45,11/7/2016, adana,partner,Separation & Jealousy
317,24,11/6/2016, kayseri,partner,Separation & Jealousy
318,20,11/3/2016, gaziantep,partner,Other
319,63,11/3/2016, afyonkarahisar,attacker,Other
320,29,11/2/2016, gaziantep,partner,Other
321,26,10/28/2016, erzincan,partner,Unknown
322,50,10/27/2016, ordu,partner,Unknown
323,22,10/26/2016, istanbul,ex-partner,Children
324,29,10/25/2016, antalya,boyfriend,Separation & Jealousy
325,30,10/23/2016, i̇zmir,ex-partner,Masculinity&Honor
326,29,10/17/2016, van,partner,Unknown
327,66,10/17/2016, balikesir,boyfriend,Other
328,4,10/14/2016, manisa,attacker,Sexual expectation
329,20,10/14/2016, tokat,partner,Separation & Jealousy
330,17,10/11/2016, sanliurfa,brother,Masculinity&Honor
331,35,10/11/2016, istanbul,ex-partner,Unknown
332,44,10/11/2016, balikesir,known man,Unknown
333,22,10/9/2016, aydin,partner,Separation & Jealousy
334,45,10/9/2016, aydin,partner,Other
335,44,10/8/2016, mugla,ex-partner,Separation & Jealousy
336,36,10/8/2016, mersin,partner,Other
337,82,10/7/2016, osmaniye,son,Other
338,38,10/6/2016, istanbul,partner,Separation & Jealousy
339,20,10/6/2016, trabzon,ex-partner,Other
340,27,10/5/2016, sanliurfa,partner,Separation & Jealousy
341,30,10/4/2016, eskisehir,partner,Woman Decision and Preferences
342,41,10/1/2016, malatya,partner,Unknown
343,,10/1/2016, corum,partner,Unknown
344,33,9/30/2016, ankara,partner,Separation & Jealousy
345,70,9/29/2016, bolu,partner,Other
346,18,9/28/2016, i̇zmir,ex-partner,Unknown
347,17,9/27/2016, antalya,known man,Separation & Jealousy
348,35,9/26/2016, istanbul,boyfriend,Unknown
349,22,9/21/2016, malatya,partner,Masculinity&Honor
350,37,9/21/2016, kutahya,ex-partner,Unknown
351,62,9/21/2016, corum,partner,Other
352,29,9/20/2016, ankara,partner,Separation & Jealousy
353,22,9/19/2016, mersin,relative,Unknown
354,39,9/19/2016, gaziantep,ex-partner,Masculinity&Honor
355,18,9/18/2016, bursa,known man,Separation & Jealousy
356,27,9/17/2016, ankara,partner,Unknown
357,39,9/14/2016, antalya,ex-partner,Separation & Jealousy
358,30,9/12/2016, sanliurfa,partner,Separation & Jealousy
359,29,9/9/2016, i̇zmir,boyfriend,Other
360,,9/8/2016, kahramanmaras,partner,Other
361,34,9/4/2016, mersin,brother,Separation & Jealousy
362,60,9/2/2016, edirne,known man,Fight
363,39,8/30/2016, kayseri,partner,Separation & Jealousy
364,24,8/30/2016, diyarbakir,partner,Unknown
365,26,8/28/2016, denizli,partner,Other
366,20,8/28/2016, antalya,partner,Unknown
367,39,8/25/2016, karaman,partner,Separation & Jealousy
368,55,8/20/2016, antalya,ex-partner,Unknown
369,66,8/18/2016, corum,partner,Unknown
370,33,8/17/2016, trabzon,brother,Other
371,64,8/17/2016, gaziantep,partner,Other
372,22,8/16/2016, antalya,known man,Other
373,26,8/16/2016, bitlis,partner,Unknown
374,46,8/15/2016, manisa,partner,Other
375,30,8/13/2016, konya,father,Other
376,,8/12/2016, konya,partner,Separation & Jealousy
377,23,8/12/2016, istanbul,attacker,Woman Decision and Preferences
378,25,8/11/2016, manisa,partner,Separation & Jealousy
