,prov_code,year,all_wm_prov,knows_wm_prov,total_pop,ethnic_turkish,ethnic_kurdish,ln_casualty,ln_gdppc_cons,divorce_rate_ma5,mosques_perk,ceasefire,fm_diff_educ,count,pol_attitude
110,14,2016,2.0,2.0,299896.0,96.83053,3.1694732,0.0,4.8276687,1.432,4.184784,0,-0.10614684,2.0,-99.2
111,14,2017,4.0,3.0,303184.0,96.83053,3.1694732,0.0,4.860384,1.418,4.1525936,0,-0.10691166,4.0,105.42
113,15,2011,1.0,1.0,250527.0,100.0,0.0,0.0,4.5386677,1.534,2.051675,0,-0.08801244,1.0,-80.0
115,15,2013,2.0,2.0,257267.0,100.0,0.0,0.0,4.530688,1.618,2.0406814,1,-0.08215435,2.0,88.8
116,15,2014,2.0,2.0,256898.0,100.0,0.0,0.0,4.569504,1.642,2.0552905,1,-0.08802244,2.0,88.8
118,15,2016,1.0,1.0,261401.0,100.0,0.0,0.0,4.617891,1.634,2.0313618,0,-0.0908097,1.0,88.8
119,15,2017,2.0,2.0,264779.0,100.0,0.0,0.0,4.6216054,1.602,2.0129995,0,-0.098983794,2.0,106.28
120,16,2010,12.0,11.0,2605495.0,92.019,6.7922735,0.6931472,4.5811043,1.338,0.6240657,0,-0.08648828,12.0,-94.6
121,16,2011,5.0,4.0,2652126.0,92.019,6.7922735,0.6931472,4.7097282,1.404,0.62063414,0,-0.09179683,5.0,-94.6
122,16,2012,7.0,7.0,2688171.0,92.019,6.7922735,0.6931472,4.7278438,1.502,0.6175202,0,-0.090711355,7.0,-94.6
123,16,2013,4.0,4.0,2740970.0,92.019,6.7922735,0.6931472,4.782153,1.612,0.6125569,1,-0.09083238,4.0,-99.2
124,16,2014,8.0,8.0,2787539.0,92.019,6.7922735,0.6931472,4.809549,1.702,0.6059108,1,-0.092168,8.0,-99.2
125,16,2015,11.0,11.0,2842547.0,92.019,6.7922735,0.6931472,4.850818,1.784,0.5941854,0,-0.09177977,11.0,-99.2
126,16,2016,6.0,6.0,2901396.0,92.019,6.7922735,0.6931472,4.870123,1.826,0.59385204,0,-0.09052646,6.0,-99.2
127,16,2017,15.0,15.0,2936803.0,92.019,6.7922735,0.6931472,4.943346,1.844,0.58975697,0,-0.08850315,15.0,-99.24
128,17,2010,3.0,3.0,490397.0,97.75796,2.2420437,0.0,4.5534596,1.338,1.6252139,0,-0.09021366,3.0,78.8
130,17,2012,3.0,3.0,493691.0,97.75796,2.2420437,0.0,4.6547985,1.55,1.6366513,0,-0.082659855,3.0,78.8
132,17,2014,1.0,1.0,511790.0,97.75796,2.2420437,0.0,4.6914268,1.63,1.594404,1,-0.087540805,1.0,108.8
133,17,2015,1.0,1.0,513341.0,97.75796,2.2420437,0.0,4.722859,1.664,1.5895866,0,-0.08691186,1.0,108.8
136,18,2010,1.0,1.0,179067.0,100.0,0.0,0.0,4.18777,1.014,3.6410952,0,-0.12265676,1.0,-93.8
137,18,2011,1.0,1.0,177211.0,100.0,0.0,0.0,4.3000455,1.03,3.7525887,0,-0.12599665,1.0,-93.8
138,18,2012,1.0,1.0,184406.0,100.0,0.0,0.0,4.290793,1.07,3.882737,0,-0.13387217,1.0,-93.8
139,18,2013,1.0,1.0,190909.0,100.0,0.0,0.0,4.3249393,1.09,3.7766685,1,-0.12763391,1.0,-108.6
144,19,2010,2.0,1.0,535405.0,100.0,0.0,0.0,4.138444,1.276,2.4149942,0,-0.092127874,2.0,-91.4
145,19,2011,1.0,1.0,534578.0,100.0,0.0,0.0,4.2089925,1.324,2.4187303,0,-0.09886901,1.0,-91.4
146,19,2012,2.0,2.0,529975.0,100.0,0.0,0.0,4.205148,1.386,2.4642673,0,-0.09943569,2.0,-91.4
147,19,2013,3.0,3.0,532080.0,100.0,0.0,0.0,4.232025,1.394,2.463915,1,-0.09896383,3.0,-101.4
148,19,2014,3.0,3.0,527220.0,100.0,0.0,0.0,4.2612724,1.458,2.4904215,1,-0.10101347,3.0,-101.4
149,19,2015,3.0,3.0,525180.0,100.0,0.0,0.0,4.3170986,1.446,2.5000951,0,-0.09951115,3.0,-101.4
150,19,2016,4.0,4.0,527863.0,100.0,0.0,0.0,4.344905,1.468,2.5006487,0,-0.09770043,4.0,-101.4
151,19,2017,1.0,1.0,528422.0,100.0,0.0,0.0,4.3861046,1.436,2.5131428,0,-0.0950717,1.0,-86.56
152,20,2010,3.0,3.0,931823.0,96.826035,3.1739645,0.0,4.3815317,2.116,1.2588228,0,-0.056118608,3.0,-80.0
153,20,2011,6.0,6.0,942278.0,96.826035,3.1739645,0.0,4.514135,2.148,1.2533456,0,-0.0606509,6.0,-80.0
155,20,2013,4.0,4.0,963464.0,96.826035,3.1739645,0.0,4.5824833,2.28,1.2351266,1,-0.05745265,4.0,-90.6
156,20,2014,3.0,3.0,978700.0,96.826035,3.1739645,0.0,4.6204276,2.336,1.2220292,1,-0.058599085,3.0,-90.6
157,20,2015,2.0,2.0,993442.0,96.826035,3.1739645,0.0,4.6312523,2.328,1.2038951,0,-0.060492426,2.0,-90.6
158,20,2016,3.0,2.0,1005687.0,96.826035,3.1739645,0.0,4.677052,2.32,1.1981859,0,-0.058745205,3.0,-90.6
159,20,2017,5.0,5.0,1018735.0,96.826035,3.1739645,0.0,4.741868,2.322,1.191674,0,-0.059099317,5.0,-101.12
160,21,2010,7.0,7.0,1528958.0,13.518223,86.48177,7.5299435,3.7504244,0.354,1.1347598,0,-0.095155545,7.0,0.0
