,prov_code,prov_name,year,all_wm_prov,knows_wm_prov,total_pop,ethnic_turkish,ethnic_kurdish,ln_casualty,ln_gdppc_cons,divorce_rate_ma5,mosques_perk,ceasefire,fm_diff_educ,count,pol_attitude
109,14,bolu,2015,3,3,291095,96.83053,3.1694732,0,4.852601,1.452,4.2494717,0,-0.11432704,3,-99.2
110,14,bolu,2016,2,2,299896,96.83053,3.1694732,0,4.8276687,1.432,4.184784,0,-0.10614684,2,-99.2
111,14,bolu,2017,4,3,303184,96.83053,3.1694732,0,4.860384,1.418,4.1525936,0,-0.10691166,3,105.42
112,15,burdur,2010,0,0,258868,100,0,0,4.445373,1.48,1.966253,0,-0.09406157,0,-80
113,15,burdur,2011,1,1,250527,100,0,0,4.5386677,1.534,2.051675,0,-0.08801244,1,-80
114,15,burdur,2012,0,0,254341,100,0,0,4.519039,1.566,2.0523627,0,-0.08096811,0,-80
115,15,burdur,2013,2,2,257267,100,0,0,4.530688,1.618,2.0406814,1,-0.08215435,2,88.8
116,15,burdur,2014,2,2,256898,100,0,0,4.569504,1.642,2.0552905,1,-0.08802244,2,88.8
117,15,burdur,2015,0,0,258339,100,0,0,4.6101274,1.6,2.043826,0,-0.0892522,0,88.8
118,15,burdur,2016,1,1,261401,100,0,0,4.617891,1.634,2.0313618,0,-0.0908097,1,88.8
119,15,burdur,2017,2,2,264779,100,0,0,4.6216054,1.602,2.0129995,0,-0.098983794,2,106.28
120,16,bursa,2010,12,11,2605495,92.019,6.7922735,0.6931472,4.5811043,1.338,0.6240657,0,-0.08648828,11,-94.6
121,16,bursa,2011,5,4,2652126,92.019,6.7922735,0.6931472,4.7097282,1.404,0.62063414,0,-0.09179683,4,-94.6
122,16,bursa,2012,7,7,2688171,92.019,6.7922735,0.6931472,4.7278438,1.502,0.6175202,0,-0.090711355,7,-94.6
123,16,bursa,2013,4,4,2740970,92.019,6.7922735,0.6931472,4.782153,1.612,0.6125569,1,-0.09083238,4,-99.2
124,16,bursa,2014,8,8,2787539,92.019,6.7922735,0.6931472,4.809549,1.702,0.6059108,1,-0.092168,8,-99.2
