prov_code,ethnic_kurdish,ln_gdppc_cons,divorce_rate_ma5,mosques_perk,fm_diff_educ,pol_attitude,count_k
46,4.7310824,4.2310643,1.356,1.190031,-0.09937684,-117.6,0.004559506114297699
46,4.7310824,4.2413235,1.34,1.1890702,-0.100088954,-117.6,0.0008987681483758361
46,4.7310824,4.299322,1.328,1.1785854,-0.09572914,-135.2,0.0008868212159560421
47,74.41578,3.8418536,0.3,1.3284767,-0.117427886,-90.0,0.0013088439897229569
47,74.41578,3.914484,0.316,1.3958133,-0.115302496,-90.0,0.0025872350994662536
47,74.41578,3.9714856,0.354,1.4081653,-0.11445807,-104.4,0.005129928257953313
47,74.41578,4.0693417,0.392,1.4172894,-0.11661576,-104.4,0.0012553493574494314
47,74.41578,4.0894184,0.394,1.4304786,-0.11556141,-104.4,0.002511814949569035
48,3.044484,4.5770826,2.1,1.2978545,-0.046528593,92.0,0.011009133911435189
48,3.044484,4.668637,2.19,1.269199,-0.050266445,92.0,0.002385712445307542
48,3.044484,4.6713595,2.262,1.2712288,-0.048814476,92.0,0.0023497758901244795
48,3.044484,4.690169,2.384,1.2334639,-0.04919654,98.2,0.00461539349114133
48,3.044484,4.7009473,2.47,1.2096021,-0.049729824,98.2,0.006707590421113707
48,3.044484,4.741155,2.5,1.1904801,-0.050123364,98.2,0.008802071127336263
48,3.044484,4.7335443,2.508,1.1777785,-0.046581686,98.2,0.006495102151719091
48,3.044484,4.787191,2.532,1.1621826,-0.048058063,72.02,0.00426098081386864
49,87.58693,3.8826766,0.212,1.4299054,-0.109665394,-97.0,0.002431811991751294
49,87.58693,3.9550626,0.248,1.4979829,-0.109394014,-69.52,0.009887676000632811
50,1.536656,4.3238873,2.098,1.7165277,-0.094533324,-105.0,0.007006235549639178
50,1.536656,4.4287744,2.016,1.7087042,-0.097280964,-105.0,0.0034871515899667672
50,1.536656,4.424759,1.812,1.7170318,-0.08512807,-103.16,0.0034203820566757305
51,0.0,4.057916,1.106,1.189592,-0.06664352,-79.8,0.005918367950853873
51,0.0,4.200019,1.252,1.2078643,-0.075354636,-79.8,0.0029388426837511387
52,0.5331909,3.9049017,0.958,2.750343,-0.081231326,52.7,0.0013904666823325912
52,0.5331909,3.987195,0.952,2.8037906,-0.08759639,52.7,0.002799591259676087
52,0.5331909,4.0076537,0.982,2.758403,-0.08694996,52.7,0.0013488523289958737
52,0.5331909,4.0621123,1.034,2.8204174,-0.08867696,-109.0,0.002734287417356163
52,0.5331909,4.1027946,1.082,2.8704844,-0.09174737,-109.0,0.0027614087602931513
52,0.5331909,4.174966,1.152,2.7751577,-0.092999175,-109.0,0.0026645776377986325
53,0.0,4.3750787,0.692,3.2011194,-0.110274225,-93.6,0.0030958602157195396
53,0.0,4.5220304,0.808,3.208209,-0.11410415,-135.8,0.003032333775043287
53,0.0,4.587012,0.886,3.2110147,-0.108263314,-135.8,0.0030207099876755033
54,1.5718229,4.3690825,1.3,1.4183065,-0.10172537,-90.6,0.0034369300424346295
54,1.5718229,4.480398,1.34,1.4022752,-0.1089388,-90.6,0.0033762644110219273
54,1.5718229,4.5201325,1.37,1.4164321,-0.10284929,-90.6,0.0011083193777451684
54,1.5718229,4.5737014,1.416,1.120591,-0.101777464,-116.0,0.0032702074292572376
54,1.5718229,4.603193,1.498,1.3959383,-0.10315585,-116.0,0.0021442984177221978
